Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DDT_Amazon_CatogaryValidation_testSuite,Chrome 120.0.0.0,,,27-01-2024 18:03:17,27-01-2024 18:04:15,58.557s,PASSED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,27-01-2024 18:03:17,27-01-2024 18:03:41,23.386s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 18:03:18,27-01-2024 18:03:24,6.233s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,27-01-2024 18:03:24,27-01-2024 18:03:28,3.649s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,27-01-2024 18:03:28,27-01-2024 18:03:30,2.503s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,27-01-2024 18:03:30,27-01-2024 18:03:32,1.425s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,27-01-2024 18:03:32,27-01-2024 18:03:40,8.194s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-01-2024 18:03:40,27-01-2024 18:03:41,0.544s,PASSED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,27-01-2024 18:03:41,27-01-2024 18:04:01,19.977s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 18:03:41,27-01-2024 18:03:44,3.240s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,27-01-2024 18:03:44,27-01-2024 18:03:49,4.745s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,27-01-2024 18:03:49,27-01-2024 18:03:51,2.678s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,27-01-2024 18:03:51,27-01-2024 18:03:53,1.089s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,27-01-2024 18:03:53,27-01-2024 18:04:00,7.600s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-01-2024 18:04:00,27-01-2024 18:04:01,0.546s,PASSED
,,,,,,,
Test Cases/DDT/TC_Validation Amazon Category_Excel_001,Chrome 120.0.0.0,,,27-01-2024 18:04:01,27-01-2024 18:04:15,14.444s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,27-01-2024 18:04:01,27-01-2024 18:04:04,3.076s,PASSED
"navigateToUrl(""https://www.amazon.com/"")",Chrome 120.0.0.0,,,27-01-2024 18:04:04,27-01-2024 18:04:08,3.611s,PASSED
"selectOptionByLabel(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/categoryElement""), category, false)",Chrome 120.0.0.0,,,27-01-2024 18:04:08,27-01-2024 18:04:09,1.932s,PASSED
"setText(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_field-keywords""), item)",Chrome 120.0.0.0,,,27-01-2024 18:04:09,27-01-2024 18:04:11,1.350s,PASSED
"click(findTestObject(""Amazon_Category_ValidationExcel_OR/Page_Amazon.com. Spend less. Smile more/input_Search Amazon_nav-search-submit-button""))",Chrome 120.0.0.0,,,27-01-2024 18:04:11,27-01-2024 18:04:15,4.150s,PASSED
closeBrowser(),Chrome 120.0.0.0,,,27-01-2024 18:04:15,27-01-2024 18:04:15,0.249s,PASSED
